high,low,volume,close,open,time
304.96,297.74,16041286.0,304.94,298.03,1652202000
305.07,301.98,15092863.0,303.59,304.96,1652205600
304.86,300.14,18287493.0,300.82,303.58,1652209200
301.21,300.1,4570004.0,300.48,300.81,1652212800
300.76,300.24,94055.0,300.37,300.4,1652216400
301.22,300.36,137866.0,301.0499,300.36,1652220000
301.34,300.25,155563.0,300.71,301.05,1652223600
305.0,302.25,174512.0,304.74,302.98,1652256000
305.24,304.5,126378.0,304.88,304.71,1652259600
305.56,304.06,195449.0,305.21,304.84,1652263200
305.86,304.83,594549.0,304.99,305.22,1652266800
305.36,294.92,6288374.0,295.8,305.14,1652270400
304.09,295.64,23323825.0,301.8598,295.78,1652274000
302.91,298.81,21855151.0,299.94,301.83,1652277600
301.98,297.8,12160652.0,299.46,299.93,1652281200
299.99,295.57,12059952.0,295.8,299.46,1652284800
295.96,292.51,14319868.0,292.69,295.8,1652288400
296.54,292.62,13447231.0,293.61,292.67,1652292000
293.85,290.95,27454972.0,291.83,293.6,1652295600
300.4666,291.34,6440442.0,292.65,291.84,1652299200
292.77,291.84,1153366.0,292.18,292.77,1652302800
292.55,291.35,257153.0,292.39,292.29,1652306400
292.88,291.9,216216.0,292.6,292.42,1652310000
291.0,288.0,165247.0,288.51,290.78,1652342400
289.05,287.5,150324.0,288.5,288.53,1652346000
289.47,288.22,125999.0,289.26,288.44,1652349600
290.45,286.6,877478.0,286.87,289.26,1652353200
291.998,286.65,1026689.0,287.5,286.79,1652356800
290.25,285.04,19741261.0,287.53,287.47,1652360400
294.61,286.26,24084020.0,294.36,287.49,1652364000
295.75,288.75,14612167.0,288.78,294.38,1652367600
292.12,287.91,11882048.0,290.31,288.78,1652371200
291.03,285.63,9322768.0,286.21,290.29,1652374800
287.24,284.94,9560535.0,285.6071,286.17,1652378400
291.44,285.4145,22877221.0,291.25,285.63,1652382000
291.39,289.04,4158519.0,289.39,291.26,1652385600
291.15,289.38,963997.0,290.16,289.67,1652389200
291.14,289.91,251684.0,291.03,290.01,1652392800
293.18,291.01,353200.0,293.04,291.03,1652396400
296.71,295.0,217715.0,296.04,295.16,1652428800
296.75,295.5,168173.0,295.88,296.1,1652432400
296.38,295.31,137124.0,296.2,295.92,1652436000
297.52,295.81,547611.0,297.31,296.2,1652439600
297.5,296.7,754454.0,296.82,297.26,1652443200
299.29,294.0825,11538512.0,298.45,296.77,1652446800
300.85,298.31,13518961.0,300.38,298.44,1652450400
301.46,299.49,8714253.0,301.28,300.385,1652454000
302.97,300.85,7007656.0,301.8301,301.27,1652457600
302.1566,299.595,6544619.0,299.88,301.83,1652461200
301.06,297.82,9664310.0,300.98,299.88,1652464800
302.999,300.22,18819912.0,301.9,300.99,1652468400
302.0,301.13,5601825.0,301.34,301.91,1652472000
302.1,301.28,171102.0,301.94,301.35,1652475600
302.35,301.84,52317.0,302.15,301.9,1652479200
302.53,302.1,70431.0,302.31,302.11,1652482800
300.82,299.51,81754.0,300.8,300.36,1652688000
301.08,299.69,64557.0,299.69,300.99,1652691600
300.5,299.72,57030.0,300.49,299.72,1652695200
300.86,300.15,210037.0,300.61,300.36,1652698800
302.55,300.18,587233.0,301.2,300.61,1652702400
301.4,297.821,10389465.0,298.65,301.2,1652706000
301.63,297.48,11149495.0,297.58,298.64,1652709600
300.71,297.13,7443488.0,300.48,297.59,1652713200
301.02,298.06,4662560.0,298.32,300.49,1652716800
301.07,297.82,5510482.0,300.377,298.28,1652720400
302.26,299.79,5830176.0,301.29,300.4,1652724000
301.46,297.68,10254969.0,298.55,301.29,1652727600
300.766,298.13,2029938.0,298.25,298.55,1652731200
298.44,297.95,124388.0,298.02,298.25,1652734800
298.97,298.14,207513.0,298.8,298.14,1652738400
299.04,298.47,82674.0,298.95,298.79,1652742000
305.36,301.36,233545.0,304.6,301.36,1652774400
305.6,304.37,120208.0,305.5,304.51,1652778000
305.73,304.32,194124.0,304.32,305.47,1652781600
304.88,303.87,533347.0,304.1,304.36,1652785200
304.51,303.16,661216.0,304.06,304.0604,1652788800
305.54,303.02,8195278.0,303.35,304.07,1652792400
304.51,300.58,10178859.0,301.39,303.32,1652796000
304.44,301.135,7091806.0,303.86,301.37,1652799600
304.69,302.96,4849861.0,303.85,303.86,1652803200
304.9,303.12,4117629.0,304.2989,303.845,1652806800
305.77,301.56,11736133.0,305.06,304.31,1652810400
306.56,304.99,11041968.0,306.25,305.08,1652814000
306.57,305.84,2988766.0,306.49,306.25,1652817600
306.6,306.46,59318.0,306.6,306.56,1652821200
306.94,306.41,138178.0,306.43,306.62,1652824800
306.5,306.03,113316.0,306.22,306.45,1652828400
304.96,303.75,49634.0,304.27,304.66,1652860800
304.94,304.06,18203.0,304.94,304.14,1652864400
305.23,303.96,102312.0,304.23,305.0,1652868000
304.4,302.58,565009.0,302.68,304.28,1652871600
303.43,301.43,666011.0,301.45,302.69,1652875200
302.25,299.61,8017919.0,299.8456,301.5,1652878800
301.3,298.88,8965735.0,299.93,299.84,1652882400
299.95,295.34,9057739.0,295.4301,299.95,1652886000
295.855,293.97,9034660.0,295.81,295.46,1652889600
295.83,291.5137,10165079.0,292.005,295.8,1652893200
298.32,290.55,9374383.0,290.79,291.99,1652896800
292.07,289.85,15509065.0,291.09,290.82,1652900400
291.31,289.26,6246551.0,289.95,291.04,1652904000
291.14,289.91,876203.0,289.99,289.91,1652907600
290.53,289.75,325110.0,290.28,290.13,1652911200
290.3,288.07,300693.0,288.3,290.28,1652914800
288.21,286.14,217884.0,286.22,288.15,1652947200
286.64,285.45,165220.0,285.82,286.22,1652950800
287.96,285.88,171391.0,287.86,285.97,1652954400
289.12,287.08,710964.0,288.75,287.84,1652958000
288.78,287.09,833460.0,288.2,288.78,1652961600
292.06,287.58,13325131.0,289.96,288.19,1652965200
292.78,289.39,15436498.0,291.35,289.96,1652968800
294.39,290.185,9441341.0,293.25,291.34,1652972400
293.95,289.84,7231162.0,290.8866,293.27,1652976000
292.31,288.94,7234123.0,291.89,290.88,1652979600
293.43,290.2217,7872282.0,292.83,291.93,1652983200
293.81,289.12,11757047.0,289.6,292.86,1652986800
290.34,288.87,4960752.0,290.12,289.57,1652990400
290.3,289.58,165772.0,290.12,290.07,1652994000
290.76,290.15,122578.0,290.39,290.22,1652997600
